NOME_ORIGEM,NOME_DEST,flowOD,flowDO,Dist,COD_ORIGEM,COD_DESTINO
Rodoviaria,4550711,16,0,1,4550603,4550711
Rodoviaria,4550602,3,0,1,4550603,4550602
Rodoviaria,4551105,39,0,1,4550603,4551105
Rodoviaria,4551106,79,0,1,4550603,4551106
Rodoviaria,4551107,55,0,1,4550603,4551107
Rodoviaria,4551108,71,0,1,4550603,4551108
Rodoviaria,4551114,53,0,1,4550603,4551114
Rodoviaria,4550603,700,0,1,4550603,4550603
Rodoviaria,4550604,7,0,1,4550603,4550604
Rodoviaria,4550605,17,0,1,4550603,4550605
Rodoviaria,4553301,30,0,1,4550603,4553301
Rodoviaria,4551001,28,0,1,4550603,4551001
Rodoviaria,4552802,10,0,1,4550603,4552802
Rodoviaria,4552803,8,0,1,4550603,4552803
Rodoviaria,4550904,67,0,1,4550603,4550904
Rodoviaria,4550906,41,0,1,4550603,4550906
Rodoviaria,4550908,104,0,1,4550603,4550908
Rodoviaria,4550909,63,0,1,4550603,4550909
Santo Cristo,4551308,22,0,1,4550604,4551308
Santo Cristo,4551309,30,0,1,4550604,4551309
Santo Cristo,4551310,54,0,1,4550604,4551310
Santo Cristo,4550801,15,0,1,4550604,4550801
Santo Cristo,4550802,14,0,1,4550604,4550802
Santo Cristo,4550803,29,0,1,4550604,4550803
Santo Cristo,4550804,29,0,1,4550604,4550804
Santo Cristo,4550805,13,0,1,4550604,4550805
Santo Cristo,4550806,17,0,1,4550604,4550806
Santo Cristo,4552601,24,0,1,4550604,4552601
Santo Cristo,4550701,55,0,1,4550604,4550701
Santo Cristo,4550702,47,0,1,4550604,4550702
Santo Cristo,4550703,30,0,1,4550604,4550703
Santo Cristo,4550704,40,0,1,4550604,4550704
Santo Cristo,4550705,17,0,1,4550604,4550705
Santo Cristo,4550706,31,0,1,4550604,4550706
Santo Cristo,4550707,30,0,1,4550604,4550707
Santo Cristo,4550708,53,0,1,4550604,4550708
Santo Cristo,4550709,40,0,1,4550604,4550709
Santo Cristo,4550710,20,0,1,4550604,4550710
Santo Cristo,4550711,13,0,1,4550604,4550711
Santo Cristo,4550602,7,0,1,4550604,4550602
Santo Cristo,4551105,47,0,1,4550604,4551105
Santo Cristo,4551106,104,0,1,4550604,4551106
Santo Cristo,4551107,86,0,1,4550604,4551107
Santo Cristo,4551108,78,0,1,4550604,4551108
Santo Cristo,4551114,70,0,1,4550604,4551114
Santo Cristo,4550603,3,0,1,4550604,4550603
Santo Cristo,4550604,940,0,1,4550604,4550604
Santo Cristo,4550605,16,0,1,4550604,4550605
Santo Cristo,4553301,32,0,1,4550604,4553301
Santo Cristo,4551001,34,0,1,4550604,4551001
Santo Cristo,4552802,8,0,1,4550604,4552802
Santo Cristo,4552803,13,0,1,4550604,4552803
Santo Cristo,4550902,5,0,1,4550604,4550902
Santo Cristo,4550904,64,0,1,4550604,4550904
Santo Cristo,4550906,62,0,1,4550604,4550906
Santo Cristo,4550908,128,0,1,4550604,4550908
Santo Cristo,4550909,98,0,1,4550604,4550909
Praca Maua,4551308,19,0,1,4550605,4551308
Praca Maua,4551309,35,0,1,4550605,4551309
Praca Maua,4551310,57,0,1,4550605,4551310
Praca Maua,4550801,12,0,1,4550605,4550801
Praca Maua,4550802,18,0,1,4550605,4550802
Praca Maua,4550803,23,0,1,4550605,4550803
Praca Maua,4550804,26,0,1,4550605,4550804
Praca Maua,4550805,17,0,1,4550605,4550805
Praca Maua,4550806,15,0,1,4550605,4550806
Praca Maua,4552601,17,0,1,4550605,4552601
Praca Maua,4550701,29,0,1,4550605,4550701
Praca Maua,4550702,33,0,1,4550605,4550702
Praca Maua,4550703,22,0,1,4550605,4550703
Praca Maua,4550704,28,0,1,4550605,4550704
Praca Maua,4550705,23,0,1,4550605,4550705
Praca Maua,4550706,27,0,1,4550605,4550706
Praca Maua,4550707,29,0,1,4550605,4550707
Praca Maua,4550708,34,0,1,4550605,4550708
Praca Maua,4550709,29,0,1,4550605,4550709
Praca Maua,4550710,16,0,1,4550605,4550710
Praca Maua,4550711,24,0,1,4550605,4550711
Praca Maua,4550602,5,0,1,4550605,4550602
Praca Maua,4551105,42,0,1,4550605,4551105
Praca Maua,4551106,98,0,1,4550605,4551106
Praca Maua,4551107,80,0,1,4550605,4551107
Praca Maua,4551108,77,0,1,4550605,4551108
Praca Maua,4551114,62,0,1,4550605,4551114
Praca Maua,4550603,4,0,1,4550605,4550603
Praca Maua,4550604,4,0,1,4550605,4550604
Praca Maua,4550605,803,0,1,4550605,4550605
Praca Maua,4553301,33,0,1,4550605,4553301
Praca Maua,4551001,31,0,1,4550605,4551001
Praca Maua,4552802,17,0,1,4550605,4552802
Praca Maua,4552803,6,0,1,4550605,4552803
Praca Maua,4550902,6,0,1,4550605,4550902
Praca Maua,4550904,64,0,1,4550605,4550904
Praca Maua,4550906,51,0,1,4550605,4550906
Praca Maua,4550908,99,0,1,4550605,4550908
Praca Maua,4550909,77,0,1,4550605,4550909
Caju,4551308,177,0,1,4550606,4551308
Caju,4551309,247,0,1,4550606,4551309
Caju,4551310,474,0,1,4550606,4551310
Caju,4550801,86,0,1,4550606,4550801
Caju,4550802,133,0,1,4550606,4550802
Caju,4550803,177,0,1,4550606,4550803
Caju,4550804,198,0,1,4550606,4550804
Caju,4550805,143,0,1,4550606,4550805
Caju,4550806,124,0,1,4550606,4550806
Caju,4552601,193,0,1,4550606,4552601
Caju,4550701,334,0,1,4550606,4550701
Caju,4550702,234,0,1,4550606,4550702
Caju,4550703,233,0,1,4550606,4550703
Caju,4550704,304,0,1,4550606,4550704
Caju,4550705,171,0,1,4550606,4550705
Caju,4550706,264,0,1,4550606,4550706
Caju,4550707,220,0,1,4550606,4550707
Caju,4550708,279,0,1,4550606,4550708
Caju,4550709,281,0,1,4550606,4550709
Caju,4550710,148,0,1,4550606,4550710
Caju,4550711,146,0,1,4550606,4550711
Caju,4550602,23,0,1,4550606,4550602
Caju,4551105,355,0,1,4550606,4551105
Caju,4551106,727,0,1,4550606,4551106
Caju,4551107,627,0,1,4550606,4551107
Caju,4551108,599,0,1,4550606,4551108
Caju,4551114,520,0,1,4550606,4551114
Caju,4550603,51,0,1,4550606,4550603
Caju,4550604,46,0,1,4550606,4550604
Caju,4550605,145,0,1,4550606,4550605
Caju,4550606,6812,0,1,4550606,4550606
Caju,4553301,216,0,1,4550606,4553301
Caju,4551001,254,0,1,4550606,4551001
Caju,4552802,88,0,1,4550606,4552802
Caju,4552803,80,0,1,4550606,4552803
Caju,4550902,38,0,1,4550606,4550902
Caju,4550904,583,0,1,4550606,4550904
Caju,4550906,362,0,1,4550606,4550906
Caju,4550908,951,0,1,4550606,4550908
Caju,4550909,653,0,1,4550606,4550909
Av.Passos,4550801,2,0,1,4550701,4550801
Av.Passos,4550802,7,0,1,4550701,4550802
Av.Passos,4550803,9,0,1,4550701,4550803
Av.Passos,4550804,11,0,1,4550701,4550804
Av.Passos,4550805,4,0,1,4550701,4550805
Av.Passos,4550806,5,0,1,4550701,4550806
Av.Passos,4552601,53,0,1,4550701,4552601
Av.Passos,4550701,220,0,1,4550701,4550701
Av.Passos,4550702,10,0,1,4550701,4550702
Av.Passos,4550703,6,0,1,4550701,4550703
Av.Passos,4550704,35,0,1,4550701,4550704
Av.Passos,4550705,18,0,1,4550701,4550705
Av.Passos,4550706,21,0,1,4550701,4550706
Av.Passos,4550707,11,0,1,4550701,4550707
Av.Passos,4550708,24,0,1,4550701,4550708
Av.Passos,4550709,20,0,1,4550701,4550709
Av.Passos,4550710,6,0,1,4550701,4550710
Av.Passos,4550711,8,0,1,4550701,4550711
Av.Passos,4550602,3,0,1,4550701,4550602
Av.Passos,4550603,3,0,1,4550701,4550603
Av.Passos,4550604,5,0,1,4550701,4550604
Av.Passos,4550605,7,0,1,4550701,4550605
Av.Passos,4552802,5,0,1,4550701,4552802
Av.Passos,4552803,4,0,1,4550701,4552803
Mal.Floriano,4550801,12,0,1,4550702,4550801
Mal.Floriano,4550802,23,0,1,4550702,4550802
Mal.Floriano,4550803,14,0,1,4550702,4550803
Mal.Floriano,4550804,24,0,1,4550702,4550804
Mal.Floriano,4550805,11,0,1,4550702,4550805
Mal.Floriano,4550806,22,0,1,4550702,4550806
Mal.Floriano,4552601,183,0,1,4550702,4552601
Mal.Floriano,4550701,105,0,1,4550702,4550701
Mal.Floriano,4550702,663,0,1,4550702,4550702
Mal.Floriano,4550703,30,0,1,4550702,4550703
Mal.Floriano,4550704,107,0,1,4550702,4550704
Mal.Floriano,4550705,34,0,1,4550702,4550705
Mal.Floriano,4550706,59,0,1,4550702,4550706
Mal.Floriano,4550707,39,0,1,4550702,4550707
Mal.Floriano,4550708,59,0,1,4550702,4550708
Mal.Floriano,4550709,63,0,1,4550702,4550709
Mal.Floriano,4550710,28,0,1,4550702,4550710
Mal.Floriano,4550711,26,0,1,4550702,4550711
Mal.Floriano,4550602,3,0,1,4550702,4550602
Mal.Floriano,4550603,10,0,1,4550702,4550603
Mal.Floriano,4550604,12,0,1,4550702,4550604
Mal.Floriano,4550605,15,0,1,4550702,4550605
Mal.Floriano,4552802,13,0,1,4550702,4552802
Mal.Floriano,4552803,7,0,1,4550702,4552803
Mal.Floriano,4550902,4,0,1,4550702,4550902
Candelaria,4550802,2,0,1,4550703,4550802
Candelaria,4550803,3,0,1,4550703,4550803
Candelaria,4550804,3,0,1,4550703,4550804
Candelaria,4550805,3,0,1,4550703,4550805
Candelaria,4550806,2,0,1,4550703,4550806
Candelaria,4552601,22,0,1,4550703,4552601
Candelaria,4550701,19,0,1,4550703,4550701
Candelaria,4550702,13,0,1,4550703,4550702
Candelaria,4550703,74,0,1,4550703,4550703
Candelaria,4550704,9,0,1,4550703,4550704
Candelaria,4550705,8,0,1,4550703,4550705
Candelaria,4550706,7,0,1,4550703,4550706
Candelaria,4550707,1,0,1,4550703,4550707
Candelaria,4550708,13,0,1,4550703,4550708
Candelaria,4550709,9,0,1,4550703,4550709
Candelaria,4550710,1,0,1,4550703,4550710
Candelaria,4550711,3,0,1,4550703,4550711
Candelaria,4550603,1,0,1,4550703,4550603
Candelaria,4550604,1,0,1,4550703,4550604
Candelaria,4550605,5,0,1,4550703,4550605
Candelaria,4552802,1,0,1,4550703,4552802
Candelaria,4552803,2,0,1,4550703,4552803
Candelaria,4550902,1,0,1,4550703,4550902
1o. de marco,4550804,1,0,1,4550704,4550804
1o. de marco,4550701,3,0,1,4550704,4550701
1o. de marco,4550702,4,0,1,4550704,4550702
1o. de marco,4550704,23,0,1,4550704,4550704
1o. de marco,4550705,2,0,1,4550704,4550705
1o. de marco,4550706,2,0,1,4550704,4550706
1o. de marco,4550803,2,0,1,4550704,4550803
1o. de marco,4550708,2,0,1,4550704,4550708
1o. de marco,4550709,2,0,1,4550704,4550709
1o. de marco,4550710,1,0,1,4550704,4550710
1o. de marco,4550711,1,0,1,4550704,4550711
1o. de marco,4552601,4,0,1,4550704,4552601
Aerop.S.Dumont,4550801,2,0,1,4550705,4550801
Aerop.S.Dumont,4550802,1,0,1,4550705,4550802
Aerop.S.Dumont,4550803,1,0,1,4550705,4550803
Aerop.S.Dumont,4550804,7,0,1,4550705,4550804
Aerop.S.Dumont,4550805,4,0,1,4550705,4550805
Aerop.S.Dumont,4550806,3,0,1,4550705,4550806
Aerop.S.Dumont,4552601,22,0,1,4550705,4552601
Aerop.S.Dumont,4550701,12,0,1,4550705,4550701
Aerop.S.Dumont,4550702,8,0,1,4550705,4550702
Aerop.S.Dumont,4550703,3,0,1,4550705,4550703
Aerop.S.Dumont,4550704,8,0,1,4550705,4550704
Aerop.S.Dumont,4550705,61,0,1,4550705,4550705
Aerop.S.Dumont,4550706,10,0,1,4550705,4550706
Aerop.S.Dumont,4550707,7,0,1,4550705,4550707
Aerop.S.Dumont,4550708,11,0,1,4550705,4550708
Aerop.S.Dumont,4550709,11,0,1,4550705,4550709
Aerop.S.Dumont,4550710,3,0,1,4550705,4550710
Aerop.S.Dumont,4550711,1,0,1,4550705,4550711
Aerop.S.Dumont,4550602,1,0,1,4550705,4550602
Aerop.S.Dumont,4550603,1,0,1,4550705,4550603
Aerop.S.Dumont,4550605,4,0,1,4550705,4550605
Aerop.S.Dumont,4552802,3,0,1,4550705,4552802
Aerop.S.Dumont,4552803,1,0,1,4550705,4552803
Alm. Barroso,4550801,1,0,1,4550706,4550801
Alm. Barroso,4550802,3,0,1,4550706,4550802
Alm. Barroso,4550803,3,0,1,4550706,4550803
Alm. Barroso,4550804,6,0,1,4550706,4550804
Alm. Barroso,4550805,1,0,1,4550706,4550805
Alm. Barroso,4550806,1,0,1,4550706,4550806
Alm. Barroso,4552601,29,0,1,4550706,4552601
Alm. Barroso,4550701,11,0,1,4550706,4550701
Alm. Barroso,4550702,8,0,1,4550706,4550702
Alm. Barroso,4550703,6,0,1,4550706,4550703
Alm. Barroso,4550704,11,0,1,4550706,4550704
Alm. Barroso,4550705,1,0,1,4550706,4550705
Alm. Barroso,4550706,107,0,1,4550706,4550706
Alm. Barroso,4550707,5,0,1,4550706,4550707
Alm. Barroso,4550708,9,0,1,4550706,4550708
Alm. Barroso,4550709,18,0,1,4550706,4550709
Alm. Barroso,4550710,4,0,1,4550706,4550710
Alm. Barroso,4550711,5,0,1,4550706,4550711
Alm. Barroso,4550603,4,0,1,4550706,4550603
Alm. Barroso,4550605,3,0,1,4550706,4550605
Alm. Barroso,4550902,1,0,1,4550706,4550902
Passeio Publico,4550801,12,0,1,4550707,4550801
Passeio Publico,4550802,33,0,1,4550707,4550802
Passeio Publico,4550803,47,0,1,4550707,4550803
Passeio Publico,4550804,55,0,1,4550707,4550804
Passeio Publico,4550805,35,0,1,4550707,4550805
Passeio Publico,4550806,31,0,1,4550707,4550806
Passeio Publico,4552601,389,0,1,4550707,4552601
Passeio Publico,4550701,229,0,1,4550707,4550701
Passeio Publico,4550702,128,0,1,4550707,4550702
Passeio Publico,4550703,66,0,1,4550707,4550703
Passeio Publico,4550704,185,0,1,4550707,4550704
