lat,long,NOME_ZONAS,POP96,ZONA_TRAFE,DOMIC96,RA,AREA,POP0,POP2,POP10,POP15,POP20,POP40
681604.25,7459114.65,Jardim Botanico,9403,4551109,3091,6,1888830.95,0.02,0.08,0.07,0.06,0.31,0.46
682693.27,7458304.34,Joquei,3088,4551110,1058,6,1066400.05,0.02,0.08,0.07,0.06,0.31,0.46
682503.83,7457322.07,Carlos Gois,23965,4551111,8981,6,823787.52,0.01,0.06,0.06,0.06,0.29,0.52
681591.12,7457120.4,Leblon,23771,4551112,9122,6,1195566.08,0.01,0.06,0.06,0.06,0.29,0.52
680433.55,7457357.75,Gavea,17278,4551113,6273,6,2903645.88,0.02,0.08,0.07,0.06,0.33,0.44
680311.91,7455994.23,Vidigal,12052,4551114,3655,6,1796772.93,0.04,0.15,0.1,0.08,0.37,0.26
677437.43,7456378.51,Sao Conrado,10185,4551115,3153,6,6249561.03,0.02,0.1,0.08,0.07,0.32,0.41
682382.36,7466265.6,Fonseca Teles,6832,4551201,2266,7,607647.64,0.03,0.11,0.08,0.07,0.34,0.38
682247.72,7466766.61,Campo S.Cristovao,3459,4551202,1171,7,488620.62,0.03,0.11,0.08,0.07,0.34,0.38
681992.28,7467517.08,Rua Bela,11927,4551203,3667,7,841187.41,0.03,0.11,0.08,0.07,0.34,0.38
682780.65,7467221.77,Praia Formosa,1041,4551204,351,7,414439.83,0.03,0.11,0.08,0.07,0.34,0.38
683193.49,7466498.85,Rua Escobar,879,4551205,340,7,499090.18,0.03,0.11,0.08,0.07,0.34,0.38
683300.14,7465916.61,Francisco Eugenio,409,4551206,158,7,315428.38,0.03,0.11,0.08,0.07,0.34,0.38
682040.65,7465770.88,Quinta Boa Vista,3444,4551207,2173,7,1127694.96,0.03,0.11,0.08,0.07,0.34,0.38
680899.06,7466017.11,Mangueira,14555,4551208,3791,7,877043.99,0.04,0.16,0.12,0.08,0.32,0.27
681422.02,7466916.08,Tuiuti,11491,4551209,3306,7,638232.94,0.03,0.12,0.09,0.07,0.33,0.35
680858.32,7466966.56,Benfica 1,6420,4551210,1947,7,629681.79,0.03,0.12,0.09,0.07,0.33,0.36
680445.23,7467434.03,Benfica 2,11897,4551211,3375,7,1019843.91,0.03,0.12,0.09,0.07,0.33,0.36
683254.06,7465233.18,Praca da Bandeira,8578,4551301,3093,8,711097.67,0.02,0.08,0.07,0.06,0.32,0.44
682714.93,7464592.03,Afonso Pena,10044,4551302,3580,8,474021.89,0.02,0.08,0.07,0.06,0.32,0.44
682938.79,7464155.16,Rua do Bispo,18464,4551303,6388,8,488939.02,0.02,0.08,0.07,0.06,0.29,0.47
682101.47,7463979.97,S.F.Xavier,27517,4551304,9590,8,969865.94,0.02,0.08,0.07,0.06,0.29,0.47
681276.56,7463397.06,Saens Pena,45695,4551305,16209,8,1855139.57,0.02,0.08,0.07,0.06,0.29,0.47
680404.67,7462407.1,Muda,43052,4551306,14482,8,3388765.63,0.02,0.08,0.07,0.06,0.29,0.47
678693.72,7462018.63,Rua Sao Miguel,17865,4551307,5778,8,2153151.9,0.02,0.08,0.07,0.06,0.29,0.47
676043.7,7460142.14,Alto da Boa Vista,6420,4551308,2065,8,10719869.59,0.03,0.11,0.08,0.07,0.31,0.41
680401.13,7460959.6,Sumare,560,4551309,174,8,7558619.41,0.03,0.11,0.08,0.07,0.31,0.41
679131.64,7458862.37,Vista Chinesa,2325,4551310,593,8,13605410.76,0.03,0.11,0.08,0.07,0.31,0.41
682353.67,7464992.32,Morais e Silva,11973,4551401,4127,9,604509.31,0.02,0.08,0.07,0.06,0.29,0.47
681312.2,7464998.03,Maracana,14542,4551402,5034,9,1074111.17,0.02,0.08,0.07,0.06,0.32,0.44
680619.32,7464160.68,Pereira das Neves,17289,4551403,5913,9,446198.17,0.02,0.08,0.07,0.06,0.32,0.44
680208.04,7464574.17,Vila Isabel 1,14730,4551404,5126,9,638594.27,0.02,0.1,0.08,0.07,0.3,0.44
680174.86,7465141.59,Vila Isabel 2,16979,4551405,5820,9,742902.25,0.02,0.1,0.08,0.07,0.3,0.44
679059.84,7465035.06,Morro dos Macacos,20777,4551406,6068,9,1006002.07,0.02,0.09,0.08,0.06,0.3,0.45
678870.63,7464492.25,Praca Sete,11643,4551407,3972,9,387018.73,0.02,0.09,0.08,0.06,0.3,0.45
679657.32,7463984.63,Andarai 1,17853,4551408,6087,9,755864.15,0.02,0.09,0.08,0.06,0.3,0.45
678834.15,7462919.75,Andarai 2,22114,4551409,6948,9,1585608.16,0.02,0.09,0.08,0.06,0.3,0.45
678344.71,7463391.22,Grajau 1,18940,4551410,5893,9,1323049.75,0.02,0.09,0.08,0.06,0.3,0.45
677122.09,7463220.21,Grajau 2,18669,4551411,6302,9,4375971.64,0.02,0.09,0.08,0.06,0.3,0.45
680083.68,7468595.23,Manguinhos 1,14599,4551501,4116,10,2258389.53,0.05,0.17,0.11,0.08,0.35,0.24
679232.96,7468684.26,Manguinhos 2,13704,4551502,3642,10,362577.87,0.05,0.17,0.11,0.08,0.35,0.24
678739.89,7469917.33,Bonsucesso 1,6549,4551503,2291,10,733080.56,0.02,0.1,0.08,0.07,0.3,0.44
679367.53,7470456.04,Bonsucesso 2,13114,4551504,4306,10,1442214.26,0.02,0.1,0.08,0.07,0.3,0.44
679216.11,7471689.34,Ramos 1,16094,4551505,5028,10,1178545.48,0.03,0.1,0.08,0.06,0.3,0.43
678276.28,7471155.89,Ramos 2,10327,4551506,3245,10,662596.51,0.03,0.1,0.08,0.06,0.3,0.43
679026.71,7472402.94,Ramos 3,8455,4551507,2695,10,937816.89,0.03,0.1,0.08,0.06,0.3,0.43
678353.49,7472883.15,Olaria 1,19403,4551508,6071,10,1440690.84,0.03,0.11,0.08,0.07,0.31,0.41
677030.33,7471957.44,Olaria 2,42716,4551509,12633,10,2210205.3,0.03,0.11,0.08,0.07,0.31,0.41
675959.02,7472584.82,Penha 1,45189,4551601,12768,11,2225731.54,0.03,0.12,0.09,0.07,0.31,0.38
677228.73,7473577.85,Penha 2,24604,4551602,7940,11,2005980.66,0.03,0.12,0.09,0.07,0.31,0.38
677945.75,7474319.75,Penha 3,534,4551603,163,11,1443302.29,0.03,0.12,0.09,0.07,0.31,0.38
676905.36,7475499.15,Penha Circular 1,6104,4551604,1617,11,1781065.37,0.03,0.12,0.09,0.07,0.31,0.39
676300.15,7474168.13,Penha Circular 2,10052,4551605,3223,11,868000.56,0.03,0.12,0.09,0.07,0.31,0.39
674889.28,7472837.46,Penha Circular 3,30994,4551606,9427,11,2041924.07,0.03,0.12,0.09,0.07,0.31,0.39
674840.64,7473960.14,Bras de Pina 1,25963,4551607,7576,11,1251143.17,0.03,0.12,0.09,0.07,0.32,0.38
675848.92,7474752.48,Bras de Pina 2,18498,4551608,5391,11,1096018.59,0.03,0.12,0.09,0.07,0.32,0.38
676146.59,7476259.38,Trevo das Missoes,1402,4551609,505,11,1067822.8,0.03,0.13,0.09,0.07,0.32,0.36
675301.53,7475286.14,Cordovil 1,24743,4551610,7265,11,975831.98,0.03,0.13,0.09,0.07,0.31,0.36
674029.94,7474763.33,Cordovil 2,20688,4551611,6116,11,1454352.36,0.03,0.13,0.09,0.07,0.31,0.36
673640.74,7475349.2,Parada de Lucas 1,7400,4551612,2322,11,877952.96,0.04,0.15,0.1,0.07,0.33,0.32
674686.87,7475712.98,Parada de Lucas 2,2748,4551613,826,11,256515.86,0.04,0.15,0.1,0.07,0.33,0.32
674950.49,7476328.11,Parada de Lucas 3,12041,4551614,3302,11,1078667.04,0.04,0.15,0.1,0.07,0.33,0.32
673433.44,7476652.3,Vigario Geral,34536,4551615,9825,11,3499381.82,0.04,0.15,0.1,0.07,0.33,0.3
672083.54,7476503.43,Jardim America,25051,4551616,7413,11,1946451.62,0.03,0.11,0.09,0.07,0.32,0.37
680164.51,7465997.49,Sao Francisco Xavier,6746,4551701,2183,13,600961.5,0.03,0.12,0.09,0.07,0.33,0.36
679634.75,7466794.46,Rocha 1,5259,4551702,1631,13,769945.76,0.02,0.09,0.08,0.06,0.3,0.45
679548.85,7465996.34,Rocha 2,5424,4551703,1732,13,465578.19,0.02,0.09,0.08,0.06,0.3,0.45
678986.1,7465841.58,Riachuelo 1,7482,4551704,2480,13,575385.85,0.02,0.09,0.07,0.06,0.3,0.45
678913.49,7466722.55,Riachuelo 2,5093,4551705,1610,13,347099.18,0.02,0.09,0.07,0.06,0.3,0.45
679052.97,7467527.28,Viuva Claudio,7792,4551706,2246,13,1014187.21,0.03,0.1,0.08,0.07,0.31,0.42
678425.01,7466684.98,Sampaio 1,7929,4551707,2210,13,447368.67,0.04,0.14,0.1,0.07,0.32,0.33
678439.44,7465866.01,Sampaio 2,5243,4551708,1355,13,470287.94,0.04,0.14,0.1,0.07,0.32,0.33
677593.14,7465279,Engenho Novo 1,36520,4551709,10907,13,2127523.25,0.03,0.12,0.09,0.07,0.32,0.38
677774.52,7466619.82,Engenho Novo 2,10197,4551710,3045,13,640902.77,0.03,0.12,0.09,0.07,0.32,0.38
677525.95,7467669.74,Cachambi 1,16902,4551711,5206,13,914163.48,0.02,0.09,0.08,0.07,0.3,0.44
677209.11,7467174.38,Cachambi 2,14580,4551712,4663,13,561687.57,0.02,0.09,0.08,0.07,0.3,0.44
676370.8,7467932.96,Cachambi 3,9568,4551713,3169,13,796878.26,0.02,0.09,0.08,0.07,0.3,0.44
676820.14,7466671.6,Meier 1,16648,4551714,5460,13,844319.19,0.02,0.07,0.07,0.06,0.28,0.5
675880.6,7466241.78,Meier 2,15880,4551715,5293,13,749238.16,0.02,0.07,0.07,0.06,0.28,0.5
675938.83,7465790.45,Meier 3,18780,4551716,6197,13,841292.8,0.02,0.07,0.07,0.06,0.28,0.5
675914.51,7464929.09,Lins,36748,4551717,10932,13,2822773.75,0.03,0.12,0.09,0.07,0.31,0.37
675745.09,7466645.15,Todos os Santos 1,7923,4551718,2527,13,326375.93,0.02,0.08,0.07,0.07,0.31,0.45
676001.23,7467314.3,Todos os Santos 2,13923,4551719,4458,13,667956.3,0.02,0.08,0.07,0.07,0.31,0.45
675237.69,7467555.06,Engenho de Dentro 1,12109,4551720,3667,13,1214346.66,0.02,0.1,0.08,0.07,0.31,0.42
674741.48,7466539.43,Engenho de Dentro 2,15729,4551721,5185,13,1077845.01,0.02,0.1,0.08,0.07,0.31,0.42
674436.97,7465178.4,Engenho de Dentro 3,16919,4551722,5303,13,1671500.1,0.02,0.1,0.08,0.07,0.31,0.42
673133.85,7465340.22,Agua Santa,7081,4551723,2879,13,2392146.17,0.02,0.09,0.09,0.07,0.37,0.36
673867.77,7466621.01,Encantado 1,10230,4551724,3115,13,704993.13,0.03,0.11,0.08,0.06,0.31,0.41
674193.58,7467435.98,Encantado 2,5154,4551725,1640,13,318174.4,0.03,0.11,0.08,0.06,0.31,0.41
674467.09,7468096.1,Abolicao,11564,4551726,3666,13,640276.19,0.02,0.09,0.08,0.07,0.29,0.45
674859.74,7468856.08,Pilares,27714,4551727,8220,13,1804072.37,0.03,0.11,0.09,0.07,0.3,0.41
673671.15,7468375.79,Piedade 1,22845,4551728,6978,13,1535584.27,0.03,0.11,0.08,0.07,0.31,0.41
672815.47,7466565.42,Piedade 2,20609,4551729,6125,13,2240071.36,0.03,0.11,0.08,0.07,0.31,0.41
672816.11,7471298.26,Vicente de Carvalho,24327,4551901,7141,14,1819786.76,0.03,0.13,0.09,0.07,0.32,0.35
674079.94,7471629.41,Vila Kosmos,17765,4551902,5003,14,1511938.97,0.03,0.11,0.09,0.07,0.31,0.4
673428.57,7472826.01,Vila da Penha,25936,4551903,8008,14,1462405.9,0.03,0.11,0.09,0.07,0.31,0.4
