Latitude,Longitude,Localidade,Populacao_2000
1:28:00S,48:29:00W,BELEM,1280614
19:56:00S,43:57:00W,BELO HORIZONTE,2238526
15:47:00S,47:55:00W,BRASILIA,2051146
25:25:00S ,49:17:00W,CURITIBA,1587315
3:46:00S,38:33:00W,FORTALEZA,2141402
30:2:00S,38:33:00W,PORTO ALEGRE,1360590
8:4:00S,34:53:00W,RECIFE,1422905
22:57:00S,43:12:00W,RIO DE JANEIRO,5857904
13:0:00S,38:30:00W,SALVADOR,2443107
23:31:00S,46:31:00W,SAO PAULO,10434252
