"nomeZTor","nomeZTdest","flowOD","flowDO","FE","COD_ORIGEM","COD_DESTINO"
"Barra 1","Santo Cristo 1",479.64,0,40,4550601,4552907
"Olaria 1","Santo Cristo 1",53.6,0,40,4550601,4551508
"Praca Maua","Santo Cristo 1",614.17,0,10,4550601,4550605
"Santo Cristo 1","Santo Cristo 1",125.64,0,40,4550601,4550601
"Santo Cristo","Santo Cristo 1",278.21,0,40,4550601,4550604
"Passeio Publico","Santo Cristo 1",328.3,0,40,4550601,4550707
"Santo Cristo 2","Santo Cristo 1",422.09,0,10,4550601,4550602
"Rua das Laranjeiras","Santo Cristo 1",162.66,0,20,4550601,4550907
"Madureira","Santo Cristo 1",151.86,0,40,4550601,4552012
"Hipica","Santo Cristo 1",302.69,0,20,4550601,4551108
"Mal.Floriano","Santo Cristo 1",66.68,0,15,4550601,4550702
"Santo Cristo","Santo Cristo 1",88.83,0,0,4550601,4550604
"General Glicerio","Santo Cristo 1",57.5,0,2,4550601,4550908
"Santo Cristo 1","Santo Cristo 1",393.55,0,10,4550601,4550601
"Cruz Vermelha","Santo Cristo 1",110.51,0,40,4550601,4550709
"Rodoviaria","Santo Cristo 1",913.47,0,40,4550601,4550603
"Catete","Santo Cristo 1",260.71,0,20,4550601,4550903
"Alm. Barroso","Santo Cristo 1",363.21,0,20,4550601,4550706
"Fonseca Teles","Santo Cristo 1",70.89,0,20,4550601,4551201
"Cruz Vermelha","Santo Cristo 1",103.88,0,20,4550601,4550709
"Santa Tereza","Santo Cristo 1",595.03,0,40,4550601,4552802
"Santo Cristo","Santo Cristo 1",536.79,0,10,4550601,4550604
"Urca","Santo Cristo 1",32.51,0,20,4550601,4550915
"Cruz Vermelha","Santo Cristo 1",43.19,0,15,4550601,4550709
"Saens Pena","Santo Cristo 1",86,0,20,4550601,4551305
"Av.Passos","Santo Cristo 1",241.9,0,40,4550601,4550701
"Lido","Santo Cristo 1",269.59,0,20,4550601,4551002
"Praca Maua","Santo Cristo 1",358.71,0,40,4550601,4550605
"Piranhao","Santo Cristo 1",74.87,0,40,4550601,4550802
"Praca da Republica","Santo Cristo 1",99.53,0,20,4550601,4550710
"Praca da Bandeira","Santo Cristo 1",160.55,0,15,4550601,4551301
"Santo Cristo 2","Santo Cristo 1",51.53,0,15,4550601,4550602
"Central do Brasil","Santo Cristo 1",262.7,0,40,4550601,4550711
"Abolicao","Santo Cristo 1",104.01,0,40,4550601,4551726
"Tuiuti","Santo Cristo 1",255.06,0,10,4550601,4551209
"Alm. Barroso","Santo Cristo 1",155,0,15,4550601,4550706
"Praca da Bandeira","Santo Cristo 1",130.83,0,20,4550601,4551301
"Catete","Santo Cristo 1",215.01,0,15,4550601,4550903
"General Glicerio","Santo Cristo 1",108.06,0,20,4550601,4550908
"Praca Maua","Santo Cristo 1",276.76,0,2,4550601,4550605
"Andarai 1","Santo Cristo 1",60.1,0,20,4550601,4551408
"Gavea","Santo Cristo 1",21.92,0,20,4550601,4551113
"Rodoviaria","Santo Cristo 1",309.1,0,20,4550601,4550603
"Rodoviaria","Santo Cristo 1",163.77,0,15,4550601,4550603
"Cachambi 3","Santo Cristo 1",82.82,0,20,4550601,4551713
"Gal. Polidoro","Santo Cristo 1",106.55,0,40,4550601,4550912
"Piranhao","Santo Cristo 1",235.43,0,20,4550601,4550802
"Rua Bela","Santo Cristo 1",91.73,0,40,4550601,4551203
"Rodoviaria","Santo Cristo 1",1032.21,0,10,4550601,4550603
"Fonte da Saudade","Santo Cristo 1",101.92,0,20,4550601,4551106
"Largo do Machado","Santo Cristo 1",71.37,0,40,4550601,4550905
"Centro da Barra","Santo Cristo 1",115,0,20,4550601,4552903
"Santo Cristo 2","Santo Cristo 1",119.09,0,40,4550601,4550602
"Bonsucesso 2","Santo Cristo 1",82.12,0,20,4550601,4551504
"Mal.Floriano","Santo Cristo 1",58.5,0,20,4550601,4550702
"Mangueira","Santo Cristo 1",120.61,0,20,4550601,4551208
"Tuiuti","Santo Cristo 1",40.02,0,20,4550601,4551209
"Lido","Santo Cristo 1",110.64,0,40,4550601,4551002
"Barra 1","Santo Cristo 1",450.86,0,20,4550601,4552907
"Gal. Polidoro","Santo Cristo 1",97.94,0,15,4550601,4550912
"Santa Tereza","Santo Cristo 1",96.12,0,15,4550601,4552802
"1o. de marco","Santo Cristo 1",111.72,0,20,4550601,4550704
"Vila Isabel 1","Santo Cristo 1",145.17,0,15,4550601,4551404
"Rodoviaria","Santo Cristo 1",172.75,0,2,4550601,4550603
"Carlos Gois","Santo Cristo 1",125.76,0,20,4550601,4551111
"Santo Cristo","Santo Cristo 1",260.89,0,15,4550601,4550604
"Av. Chile","Santo Cristo 1",348.87,0,20,4550601,4550708
"Av.Passos","Santo Cristo 1",96.1,0,20,4550601,4550701
"Av. Itaoca","Santo Cristo 1",265.4,0,20,4550601,4553206
"Farme de Amoedo","Santo Cristo 1",82.11,0,40,4550601,4551102
"Santo Cristo","Santo Cristo 1",202.7,0,20,4550601,4550604
"Largo do Machado","Santo Cristo 1",145.09,0,20,4550601,4550905
"Santo Cristo 1","Santo Cristo 1",121.6,0,2,4550601,4550601
"Passeio Publico","Santo Cristo 1",121.59,0,15,4550601,4550707
"Candelaria","Santo Cristo 1",225.38,0,20,4550601,4550703
"Iraja 1","Santo Cristo 1",156.42,0,40,4550601,4551904
"Venceslau Braz","Santo Cristo 1",86.7,0,20,4550601,4550913
"Av.Passos","Santo Cristo 1",68.16,0,15,4550601,4550701
"Jardim de Alah","Santo Cristo 1",77.18,0,20,4550601,4551104
"Santo Cristo 2","Santo Cristo 1",278.65,0,2,4550601,4550602
"Tuiuti","Santo Cristo 1",180.16,0,40,4550601,4551209
"1o. de marco","Santo Cristo 1",96.27,0,40,4550601,4550704
"Dona Marta","Santo Cristo 1",53.56,0,20,4550601,4550910
"1o. de marco","Santo Cristo 1",105.26,0,15,4550601,4550704
"Maracana","Santo Cristo 1",156.7,0,40,4550601,4551402
"Campo S.Cristovao","Santo Cristo 1",51.26,0,15,4550601,4551202
"Santo Cristo 1","Santo Cristo 1",118.48,0,20,4550601,4550601
"Praca Maua","Santo Cristo 1",301.5,0,15,4550601,4550605
"Afonso Pena","Santo Cristo 1",948.52,0,40,4550601,4551302
"Av. Chile","Santo Cristo 1",180.47,0,40,4550601,4550708
"Passeio Publico","Santo Cristo 1",195.68,0,20,4550601,4550707
"Mal.Floriano","Santo Cristo 1",357.36,0,40,4550601,4550702
"Praca Maua","Santo Cristo 1",597.18,0,20,4550601,4550605
"Nova America","Santo Cristo 1",68.24,0,20,4550601,4553203
"Rua das Laranjeiras","Santo Cristo 2",110.63,0,40,4550602,4550907
"Maracana","Santo Cristo 2",41.82,0,10,4550602,4551402
"Praca Maua","Santo Cristo 2",548.36,0,40,4550602,4550605
"Tuiuti","Santo Cristo 2",35.59,0,15,4550602,4551209
"Santo Cristo 1","Santo Cristo 2",85.73,0,10,4550602,4550601
"Engenho Novo 2","Santo Cristo 2",12.16,0,20,4550602,4551710
"Santo Cristo 2","Santo Cristo 2",1222.94,0,40,4550602,4550602
"Av.Passos","Santo Cristo 2",197.71,0,40,4550602,4550701
"Rodoviaria","Santo Cristo 2",648.63,0,10,4550602,4550603
"Santo Cristo","Santo Cristo 2",104.77,0,40,4550602,4550604
"Afonso Pena","Santo Cristo 2",90.84,0,40,4550602,4551302
"Santo Cristo 2","Santo Cristo 2",609.12,0,10,4550602,4550602
"Santo Cristo 1","Santo Cristo 2",65.29,0,20,4550602,4550601
"Estacio","Santo Cristo 2",56.92,0,40,4550602,4550803
"Passeio Publico","Santo Cristo 2",65.69,0,15,4550602,4550707
"Rodoviaria","Santo Cristo 2",1302.64,0,40,4550602,4550603
"Aerop.S.Dumont","Santo Cristo 2",36.68,0,20,4550602,4550705
"Rio Comprido 1","Santo Cristo 2",96.37,0,15,4550602,4550804
"Cachambi 3","Santo Cristo 2",134.11,0,15,4550602,4551713
"Bolivar","Santo Cristo 2",74.98,0,40,4550602,4551004
"S.F.Xavier","Santo Cristo 2",557.35,0,40,4550602,4551304
"Bolivar","Santo Cristo 2",24.82,0,20,4550602,4551004
"Centro da Barra","Santo Cristo 2",45.63,0,20,4550602,4552903
"Cruz Vermelha","Santo Cristo 2",82.99,0,40,4550602,4550709
"Praca Maua","Santo Cristo 2",135.7,0,2,4550602,4550605
"Urca","Santo Cristo 2",23.61,0,10,4550602,4550915
"Leme","Santo Cristo 2",21.99,0,20,4550602,4551001
"Aerop.S.Dumont","Santo Cristo 2",89.02,0,40,4550602,4550705
"Praca da Republica","Santo Cristo 2",123.37,0,40,4550602,4550710
"Mare 3","Santo Cristo 2",225.55,0,20,4550602,4553603
"Tuiuti","Santo Cristo 2",50.63,0,20,4550602,4551209
"Rio Comprido 1","Santo Cristo 2",67.93,0,40,4550602,4550804
"Urca","Santo Cristo 2",23.61,0,2,4550602,4550915
"Parada de Lucas 2","Santo Cristo 2",84.53,0,40,4550602,4551613
"Rodoviaria","Santo Cristo 2",497.31,0,0,4550602,4550603
"Praca da Republica","Santo Cristo 2",260.72,0,20,4550602,4550710
"General Glicerio","Santo Cristo 2",64.36,0,15,4550602,4550908
"Piranhao","Santo Cristo 2",149.66,0,40,4550602,4550802
"Bosque da Barra","Santo Cristo 2",117.46,0,40,4550602,4552921
"Muda","Santo Cristo 2",58.56,0,20,4550602,4551306
"Francisco Eugenio","Santo Cristo 2",49.46,0,20,4550602,4551206
"Bonsucesso 2","Santo Cristo 2",218.02,0,40,4550602,4551504
"Cruz Vermelha","Santo Cristo 2",98.51,0,20,4550602,4550709
"Praca Maua","Santo Cristo 2",478.66,0,20,4550602,4550605
"1o. de marco","Santo Cristo 2",97.73,0,40,4550602,4550704
"Rodoviaria","Santo Cristo 2",40.16,0,15,4550602,4550603
"Largo do Machado","Santo Cristo 2",46.85,0,15,4550602,4550905
"Vila Militar 1","Santo Cristo 2",51.56,0,10,4550602,4552215
"Lido","Santo Cristo 2",27.32,0,40,4550602,4551002
"Santo Cristo 1","Santo Cristo 2",29.56,0,2,4550602,4550601
"Saens Pena","Santo Cristo 2",607.88,0,40,4550602,4551305
"Rocinha","Santo Cristo 2",19.42,0,20,4550602,4553301
"Rua Escobar","Santo Cristo 2",80.1,0,15,4550602,4551205
"Rodoviaria","Santo Cristo 2",190.2,0,2,4550602,4550603
"Caju","Santo Cristo 2",64.88,0,20,4550602,4550606
"Morais e Silva","Santo Cristo 2",31.62,0,40,4550602,4551401
"Santo Cristo","Santo Cristo 2",53.03,0,10,4550602,4550604
"Quinta Boa Vista","Santo Cristo 2",14.33,0,15,4550602,4551207
"1o. de marco","Santo Cristo 2",328.26,0,20,4550602,4550704
"Campo dos Afonsos","Santo Cristo 2",374.42,0,40,4550602,4552214
"Santo Cristo 2","Santo Cristo 2",53.58,0,15,4550602,4550602
"Siqueira Campos","Santo Cristo 2",46.12,0,40,4550602,4551003
"Mare 2","Santo Cristo 2",41.58,0,20,4550602,4553602
"Mal.Floriano","Santo Cristo 2",773.38,0,40,4550602,4550702
"Rua do Bispo","Santo Cristo 2",137.61,0,20,4550602,4551303
"Grajau 2","Santo Cristo 2",92.38,0,40,4550602,4551411
"Andarai 1","Santo Cristo 2",41.82,0,15,4550602,4551408
"Olaria 2","Santo Cristo 2",55.96,0,40,4550602,4551509
"Praca Maua","Santo Cristo 2",283.32,0,15,4550602,4550605
"Rua Bela","Santo Cristo 2",18.98,0,2,4550602,4551203
"Lido","Santo Cristo 2",9.92,0,20,4550602,4551002
"Santo Cristo 2","Santo Cristo 2",836.11,0,2,4550602,4550602
"Mal.Floriano","Santo Cristo 2",34.7,0,15,4550602,4550702
"Sambodromo","Santo Cristo 2",65.29,0,40,4550602,4550801
"Rua das Laranjeiras","Santo Cristo 2",49.83,0,2,4550602,4550907
"Andarai 2","Santo Cristo 2",67.13,0,20,4550602,4551409
"Av. Chile","Santo Cristo 2",201.35,0,40,4550602,4550708
"Hosp.Universitario","Santo Cristo 2",107.37,0,20,4550602,4552502
"Rua Escobar","Santo Cristo 2",34.72,0,20,4550602,4551205
"Praca da Bandeira","Santo Cristo 2",99.61,0,40,4550602,4551301
"Gal. Polidoro","Santo Cristo 2",153.89,0,20,4550602,4550912
"Alm. Barroso","Santo Cristo 2",53,0,40,4550602,4550706
"Passeio Publico","Santo Cristo 2",71.53,0,20,4550602,4550707
"Central do Brasil","Santo Cristo 2",85.73,0,10,4550602,4550711
"Santo Cristo 2","Santo Cristo 2",1587.13,0,20,4550602,4550602
"Benfica 2","Santo Cristo 2",63.02,0,20,4550602,4551211
"Andre Cavalcanti","Santo Cristo 2",101.3,0,20,4550602,4552803
"Muda","Santo Cristo 2",11.19,0,15,4550602,4551306
"Rodoviaria","Santo Cristo 2",1584.67,0,20,4550602,4550603
"Sepetiba","Santo Cristo 2",15.18,0,40,4550602,4552401
"Leblon","Santo Cristo 2",34.79,0,20,4550602,4551112
"Rua Bela","Santo Cristo 2",28.93,0,20,4550602,4551203
"Av. Chile","Santo Cristo 2",87.85,0,20,4550602,4550708
"Rio Comprido 2","Santo Cristo 2",50.89,0,20,4550602,4550805
"Tuiuti","Santo Cristo 2",35.59,0,40,4550602,4551209
"Quinta Boa Vista","Santo Cristo 2",71.99,0,20,4550602,4551207
"Alm. Barroso","Santo Cristo 2",51.56,0,20,4550602,4550706
"Central do Brasil","Santo Cristo 2",94.3,0,40,4550602,4550711
"Parada de Lucas 1","Santo Cristo 2",133.06,0,20,4550602,4551612
"Mal.Floriano","Santo Cristo 2",153.17,0,2,4550602,4550702
"Rio Comprido 1","Santo Cristo 2",94.63,0,20,4550602,4550804
"Afonso Pena","Santo Cristo 2",34.1,0,10,4550602,4551302
"Av.Passos","Santo Cristo 2",649.26,0,20,4550602,4550701
"Venceslau Braz","Santo Cristo 2",21.8,0,20,4550602,4550913
"Quinta Boa Vista","Santo Cristo 2",30.86,0,40,4550602,4551207
"Manguinhos 1","Santo Cristo 2",587.5,0,40,4550602,4551501
"Barra Shopping","Santo Cristo 2",180.26,0,20,4550602,4552917
"Passeio Publico","Santo Cristo 2",106.39,0,40,4550602,4550707
"Siqueira Campos","Santo Cristo 2",152.27,0,20,4550602,4551003
"Del Castilho","Santo Cristo 2",366.96,0,40,4550602,4553204
"Rua das Laranjeiras","Santo Cristo 2",42.79,0,20,4550602,4550907
"Carlos Gois","Santo Cristo 2",74.56,0,20,4550602,4551111
"Morais e Silva","Santo Cristo 2",39.31,0,20,4550602,4551401
"S.F.Xavier","Santo Cristo 2",32.01,0,15,4550602,4551304
"Central do Brasil","Santo Cristo 2",245.7,0,20,4550602,4550711
"Praca Maua","Santo Cristo 2",411.52,0,10,4550602,4550605
"Rua do Bispo","Santo Cristo 2",52.34,0,10,4550602,4551303
"S.F.Xavier","Santo Cristo 2",391.04,0,20,4550602,4551304
"Mal.Floriano","Santo Cristo 2",191.3,0,10,4550602,4550702
"S.F.Xavier","Santo Cristo 2",49.74,0,2,4550602,4551304
"Candelaria","Santo Cristo 2",36.88,0,20,4550602,4550703
"Parque Lage","Santo Cristo 2",63.38,0,20,4550602,4551107
"Gloria","Santo Cristo 2",79.87,0,20,4550602,4550902
"Praia de Botafogo","Santo Cristo 2",54.53,0,20,4550602,4550914
"Vila Isabel 1","Santo Cristo 2",91.03,0,20,4550602,4551404
"Fonseca Teles","Santo Cristo 2",31.44,0,40,4550602,4551201
"Padre Miguel 1","Santo Cristo 2",26.88,0,40,4550602,4552209
"Vila Militar 1","Santo Cristo 2",258.36,0,20,4550602,4552215
"Catete","Rodoviaria",93.6,0,2,4550603,4550903
"Candelaria","Rodoviaria",27.17,0,40,4550603,4550703
"Cruz Vermelha","Rodoviaria",16.8,0,15,4550603,4550709
"MAM","Rodoviaria",48.06,0,10,4550603,4550901
"Quinta Boa Vista","Rodoviaria",114.52,0,40,4550603,4551207
"Santo Cristo","Rodoviaria",46.57,0,40,4550603,4550604
"Rodoviaria","Rodoviaria",172.76,0,20,4550603,4550603
"Marechal Hermes 2","Rodoviaria",63.13,0,20,4550603,4552002
"Catete","Rodoviaria",32.65,0,20,4550603,4550903
"Manguinhos 1","Rodoviaria",30.59,0,40,4550603,4551501
"Santo Cristo","Rodoviaria",118.87,0,10,4550603,4550604
"Urca","Rodoviaria",19.65,0,40,4550603,4550915
"Vila Isabel 2","Rodoviaria",283.85,0,15,4550603,4551405
"Mal.Floriano","Rodoviaria",14.5,0,40,4550603,4550702
"Vila Isabel 2","Rodoviaria",391.3,0,40,4550603,4551405
"Santo Cristo","Rodoviaria",16.98,0,2,4550603,4550604
"Maracana","Rodoviaria",18.59,0,15,4550603,4551402
"Rodoviaria","Rodoviaria",297.18,0,15,4550603,4550603
"Leblon","Rodoviaria",410.72,0,15,4550603,4551112
"Av. Chile","Rodoviaria",41.43,0,10,4550603,4550708
"Rocha 1","Rodoviaria",40.98,0,15,4550603,4551702
"Alm. Barroso","Rodoviaria",46.54,0,40,4550603,4550706
"Central do Brasil","Rodoviaria",22.14,0,40,4550603,4550711
"Rodoviaria","Rodoviaria",140.2,0,10,4550603,4550603
"Marechal Hermes 2","Rodoviaria",63.13,0,0,4550603,4552002
"Santo Cristo 2","Rodoviaria",51.38,0,15,4550603,4550602
"Rua das Laranjeiras","Rodoviaria",43.22,0,40,4550603,4550907
"1o. de marco","Rodoviaria",267.02,0,20,4550603,4550704
"Santo Cristo","Rodoviaria",10.81,0,20,4550603,4550604
"Quinta Boa Vista","Rodoviaria",19.07,0,20,4550603,4551207
"Rua Bela","Rodoviaria",14.14,0,20,4550603,4551203
"Av.Passos","Rodoviaria",11.83,0,20,4550603,4550701
"Bonsucesso 2","Rodoviaria",36.75,0,15,4550603,4551504
"Saens Pena","Rodoviaria",36.84,0,10,4550603,4551305
"Rio Comprido 1","Rodoviaria",56.58,0,20,4550603,4550804
"Praia de Botafogo","Rodoviaria",36.92,0,20,4550603,4550914
"Av. Chile","Rodoviaria",54.61,0,40,4550603,4550708
"Siqueira Campos","Rodoviaria",33.86,0,40,4550603,4551003
"Rodoviaria","Rodoviaria",102.62,0,2,4550603,4550603
"Lido","Rodoviaria",92.1,0,20,4550603,4551002
"Campo S.Cristovao","Rodoviaria",30.75,0,15,4550603,4551202
"Central do Brasil","Rodoviaria",55.3,0,20,4550603,4550711
"Muda","Rodoviaria",18.24,0,40,4550603,4551306
"Campo S.Cristovao","Rodoviaria",100.99,0,10,4550603,4551202
"Andarai 2","Rodoviaria",18.24,0,20,4550603,4551409
"Central do Brasil","Santo Cristo",234.96,0,20,4550604,4550711
"Santo Cristo","Santo Cristo",1298.34,0,20,4550604,4550604
"1o. de marco","Santo Cristo",160.7,0,40,4550604,4550704
"Cruz Vermelha","Santo Cristo",92.75,0,15,4550604,4550709
"Gloria","Santo Cristo",103.46,0,20,4550604,4550902
"Mal.Floriano","Santo Cristo",164.23,0,2,4550604,4550702
"Santo Cristo","Santo Cristo",429.22,0,2,4550604,4550604
"Alm. Barroso","Santo Cristo",170.37,0,40,4550604,4550706
"Meier 2","Santo Cristo",62.88,0,40,4550604,4551715
"Andarai 1","Santo Cristo",28.26,0,20,4550604,4551408
"Mal.Floriano","Santo Cristo",985.55,0,40,4550604,4550702
"Av. Chile","Santo Cristo",269.52,0,20,4550604,4550708
"Rio Comprido 2","Santo Cristo",49.7,0,40,4550604,4550805
"Mal.Floriano","Santo Cristo",182.2,0,20,4550604,4550702
"Santo Cristo","Santo Cristo",326.01,0,40,4550604,4550604
"Passeio Publico","Santo Cristo",62.93,0,20,4550604,4550707
"Rua do Bispo","Santo Cristo",408.79,0,15,4550604,4551303
"Saens Pena","Santo Cristo",44.9,0,20,4550604,4551305
"Praca Maua","Santo Cristo",2340.95,0,10,4550604,4550605
"Estacio","Santo Cristo",47.13,0,20,4550604,4550803
"Campo S.Cristovao","Santo Cristo",337.49,0,40,4550604,4551202
"Praca Maua","Santo Cristo",462.87,0,2,4550604,4550605
"1o. de marco","Santo Cristo",181.9,0,20,4550604,4550704
"Siqueira Campos","Santo Cristo",87.59,0,20,4550604,4551003
"Sousa Lima","Santo Cristo",58.45,0,20,4550604,4551005
"Santo Cristo","Santo Cristo",1148.07,0,10,4550604,4550604
"Candelaria","Santo Cristo",172.38,0,20,4550604,4550703
"Santa Tereza","Santo Cristo",75.95,0,40,4550604,4552802
"Hosp.Universitario","Santo Cristo",40.37,0,40,4550604,4552502
"Maria da Graca","Santo Cristo",186.54,0,20,4550604,4553201
"Andre Cavalcanti","Santo Cristo",54.43,0,20,4550604,4552803
"Estacio","Santo Cristo",261.37,0,15,4550604,4550803
"Praca Maua","Praca Maua",206.34,0,10,4550605,4550605
"1o. de marco","Praca Maua",139.17,0,40,4550605,4550704
"Alm. Barroso","Praca Maua",505.66,0,20,4550605,4550706
"Av.Passos","Praca Maua",75.07,0,20,4550605,4550701
"Maracana","Praca Maua",137.11,0,20,4550605,4551402
"Vila Isabel 2","Praca Maua",137.11,0,20,4550605,4551405
"Praca Maua","Praca Maua",643.48,0,2,4550605,4550605
"Cidade Universitaria","Praca Maua",205.31,0,40,4550605,4552501
"Praca Maua","Praca Maua",686.13,0,20,4550605,4550605
"1o. de marco","Praca Maua",472.58,0,20,4550605,4550704
"Morais e Silva","Praca Maua",37.79,0,20,4550605,4551401
"Mal.Floriano","Praca Maua",580.69,0,20,4550605,4550702
"Aerop.S.Dumont","Praca Maua",191.41,0,40,4550605,4550705
"Morro da Viuva","Praca Maua",76.64,0,40,4550605,4550906
"Mal.Floriano","Praca Maua",110.16,0,2,4550605,4550702
"Santo Cristo","Praca Maua",212.67,0,20,4550605,4550604
"Mal.Floriano","Praca Maua",297.51,0,40,4550605,4550702
"Passeio Publico","Praca Maua",104.27,0,20,4550605,4550707
"Praca Maua","Praca Maua",78.47,0,40,4550605,4550605
"Nova Ipanema","Praca Maua",101.91,0,20,4550605,4552915
"Santo Cristo","Praca Maua",82.39,0,40,4550605,4550604
"Venceslau Braz","Praca Maua",88.8,0,40,4550605,4550913
"Catete","Praca Maua",71.7,0,20,4550605,4550903
"Praca Maua","Praca Maua",495.4,0,15,4550605,4550605
"Penha 1","Praca Maua",55.99,0,20,4550605,4551601
"Saens Pena","Praca Maua",38.72,0,20,4550605,4551305
"Av.Passos","Praca Maua",363.47,0,40,4550605,4550701
"Muda","Praca Maua",270.6,0,40,4550605,4551306
"Morro da Viuva","Praca Maua",101.91,0,20,4550605,4550906
"Saens Pena","Praca Maua",211.21,0,40,4550605,4551305
"Praia de Botafogo","Caju",100.81,0,15,4550606,4550914
"Saens Pena","Caju",268.13,0,20,4550606,4551305
"Fonseca Teles","Caju",66.79,0,15,4550606,4551201
"Mal.Floriano","Caju",118.76,0,10,4550606,4550702
"Praca Maua","Caju",51.43,0,10,4550606,4550605
"Maria da Graca","Caju",43.46,0,20,4550606,4553201
"Gal. Polidoro","Caju",107.32,0,20,4550606,4550912
"Candelaria","Caju",44.47,0,20,4550606,4550703
"Rua das Laranjeiras","Caju",36.03,0,20,4550606,4550907
"Largo do Machado","Caju",89.35,0,40,4550606,4550905
"Estacio","Caju",125.23,0,40,4550606,4550803
"Catete","Caju",107.2,0,15,4550606,4550903
"Rio Comprido 2","Caju",34.01,0,40,4550606,4550805
"Francisco Eugenio","Caju",338.51,0,10,4550606,4551206
"Benfica 2","Caju",175.27,0,40,4550606,4551211
"Praca da Bandeira","Caju",37.7,0,20,4550606,4551301
"Caju","Caju",2718.94,0,20,4550606,4550606
"Bonsucesso 2","Caju",232.84,0,20,4550606,4551504
"Deodoro 2","Caju",62.55,0,20,4550606,4552219
"Mal.Floriano","Caju",187.37,0,20,4550606,4550702
"Hosp.Universitario","Caju",33.15,0,40,4550606,4552502
"Cocota","Caju",35.62,0,15,4550606,4552507
"S.F.Xavier","Caju",147.16,0,20,4550606,4551304
"Pereira das Neves","Caju",90.11,0,40,4550606,4551403
"Campos da Paz","Caju",272.64,0,20,4550606,4550806
"Cachambi 3","Caju",37.07,0,20,4550606,4551713
"Saens Pena","Caju",119.13,0,40,4550606,4551305
"Siqueira Campos","Caju",286.15,0,20,4550606,4551003
"Recreio 2","Caju",61.34,0,10,4550606,4552934
"Siqueira Campos","Caju",68.21,0,10,4550606,4551003
"Piranhao","Caju",38.73,0,40,4550606,4550802
"Taquara 2","Caju",83.58,0,20,4550606,4552118
"Praca N.S. Paz","Caju",282.84,0,40,4550606,4551103
"Casa Shopping","Caju",38.61,0,20,4550606,4552918
"Largo do Machado","Caju",248.06,0,20,4550606,4550905
"Mangueira","Caju",43.41,0,20,4550606,4551208
"Penha Circular 1","Caju",174.17,0,20,4550606,4551604
"Rocha 1","Caju",34.02,0,40,4550606,4551702
"Morro do Alemao","Caju",41.49,0,20,4550606,4553501
"Lido","Caju",113.27,0,20,4550606,4551002
"Praca da Republica","Caju",230.39,0,40,4550606,4550710
"Praca Maua","Caju",90.64,0,20,4550606,4550605
"Campo S.Cristovao","Caju",768.67,0,40,4550606,4551202
"Downtown","Caju",148.13,0,40,4550606,4552908
"Central do Brasil","Caju",65.43,0,40,4550606,4550711
"Av. Chile","Caju",119.24,0,40,4550606,4550708
"Praia Formosa","Caju",77.7,0,40,4550606,4551204
"Rodoviaria","Caju",134.3,0,15,4550606,4550603
"Gloria","Caju",83.97,0,20,4550606,4550902
"Praca da Republica","Caju",150.56,0,15,4550606,4550710
"Fonseca Teles","Caju",185.77,0,10,4550606,4551201
"Ricardo Albuq. 2","Caju",77.68,0,20,4550606,4552705
"Caju","Caju",2745.29,0,2,4550606,4550606
"Caju","Caju",2771.26,0,10,4550606,4550606
"Humaita","Caju",158.73,0,20,4550606,4550911
"Vigario Geral","Caju",204.25,0,20,4550606,4551615
"Santo Cristo","Caju",35.07,0,20,4550606,4550604
"Sao Salvador","Caju",31.65,0,40,4550606,4550904
"Penha 2","Caju",51.38,0,20,4550606,4551602
"Tuiuti","Caju",47.2,0,40,4550606,4551209
"Largo do Machado","Caju",134.78,0,15,4550606,4550905
"CEASA","Caju",30.04,0,20,4550606,4551909
"Caju","Caju",2103.34,0,40,4550606,4550606
"CEASA","Caju",68.67,0,40,4550606,4551909
"Praia de Botafogo","Caju",597.22,0,20,4550606,4550914
"Praia Formosa","Caju",237.4,0,20,4550606,4551204
"Catete","Caju",272.8,0,40,4550606,4550903
"Rio Comprido 1","Caju",225.3,0,10,4550606,4550804
"Santa Tereza","Caju",69.38,0,40,4550606,4552802
"Sao Conrado","Caju",22.04,0,20,4550606,4551115
"Rua Bela","Caju",293.44,0,40,4550606,4551203
"Campinho","Caju",133.31,0,40,4550606,4552021
"Iraja - Dutra","Caju",44.6,0,20,4550606,4551910
"Mal.Floriano","Caju",52.3,0,40,4550606,4550702
"Mare 3","Caju",33.45,0,20,4550606,4553603
"Campo S.Cristovao","Caju",357.81,0,15,4550606,4551202
"Meier 2","Caju",130.07,0,20,4550606,4551715
"Vila Militar 1","Caju",60.2,0,20,4550606,4552215
"Nova Ipanema","Caju",89.82,0,40,4550606,4552915
"Av.Passos","Caju",66.3,0,15,4550606,4550701
"Andre Cavalcanti","Caju",18.35,0,20,4550606,4552803
"Cidade de Deus","Caju",66.79,0,20,4550606,4552112
"Urca","Caju",48.18,0,20,4550606,4550915
"Padre Miguel 2","Caju",61.17,0,20,4550606,4552210
"Av.Passos","Caju",439.68,0,20,4550606,4550701
"Cidade Universitaria","Caju",41.87,0,20,4550606,4552501
"Penha 1","Caju",54.76,0,40,4550606,4551601
"Madureira","Caju",49.3,0,20,4550606,4552012
"Quinta Boa Vista","Caju",430.53,0,10,4550606,4551207
"Benfica 2","Caju",195.77,0,2,4550606,4551211
"Gloria","Caju",159.94,0,40,4550606,4550902
"Tuiuti","Caju",321.52,0,10,4550606,4551209
"Benfica 2","Caju",647.65,0,10,4550606,4551211
