lat,long,NOME_ZONAS,POP96,ZONA_TRAFE,DOMIC96,RA
674686.87470874,7475712.97585153,Parada de Lucas 2,2748,4551613,826,11
674950.487115165,7476328.10504227,Parada de Lucas 3,12041,4551614,3302,11
673433.438464699,7476652.3043299,Vigario Geral,34536,4551615,9825,11
672083.536493156,7476503.43111167,Jardim America,25051,4551616,7413,11
673527.102565799,7473786.4173477,,13653,4551617,4052,11
680164.511922376,7465997.49279778,Sao Francisco Xavier,6746,4551701,2183,13
679634.747396517,7466794.45989274,Rocha 1,5259,4551702,1631,13
679548.852705962,7465996.33798183,Rocha 2,5424,4551703,1732,13
678986.096158366,7465841.57811002,Riachuelo 1,7482,4551704,2480,13
678913.492314529,7466722.55193449,Riachuelo 2,5093,4551705,1610,13
679052.974693794,7467527.27617685,Viuva Claudio,7792,4551706,2246,13
678425.012736101,7466684.97877815,Sampaio 1,7929,4551707,2210,13
678439.43620714,7465866.00859353,Sampaio 2,5243,4551708,1355,13
677593.136527375,7465279.00006027,Engenho Novo 1,36520,4551709,10907,13
677774.522435001,7466619.81615243,Engenho Novo 2,10197,4551710,3045,13
677525.950449137,7467669.74164296,Cachambi 1,16902,4551711,5206,13
677209.108951342,7467174.38028129,Cachambi 2,14580,4551712,4663,13
676370.795225881,7467932.95879668,Cachambi 3,9568,4551713,3169,13
676820.143999313,7466671.60285071,Meier 1,16648,4551714,5460,13
675880.600659691,7466241.77616477,Meier 2,15880,4551715,5293,13
675938.833468951,7465790.45111953,Meier 3,18780,4551716,6197,13
675914.508140394,7464929.09115224,Lins,36748,4551717,10932,13
675745.094212678,7466645.1489081,Todos os Santos 1,7923,4551718,2527,13
676001.232151004,7467314.29531092,Todos os Santos 2,13923,4551719,4458,13
675237.68807249,7467555.05544814,Engenho de Dentro 1,12109,4551720,3667,13
674741.479843641,7466539.42849011,Engenho de Dentro 2,15729,4551721,5185,13
674436.970544857,7465178.39644024,Engenho de Dentro 3,16919,4551722,5303,13
673133.851310924,7465340.21621822,Agua Santa,7081,4551723,2879,13
673867.767634083,7466621.01474511,Encantado 1,10230,4551724,3115,13
674193.578214857,7467435.9821169,Encantado 2,5154,4551725,1640,13
674467.094192288,7468096.09803672,Abolicao,11564,4551726,3666,13
674859.74455619,7468856.07981572,Pilares,27714,4551727,8220,13
673671.145713374,7468375.78993958,Piedade 1,22845,4551728,6978,13
672815.47457449,7466565.42122282,Piedade 2,20609,4551729,6125,13
672816.105245323,7471298.26017661,Vicente de Carvalho,24327,4551901,7141,14
674079.937420778,7471629.40963383,Vila Kosmos,17765,4551902,5003,14
673428.571561431,7472826.00617834,Vila da Penha,25936,4551903,8008,14
672497.885669654,7472447.99135755,Iraja 1,8089,4551904,2371,14
671450.724723423,7472044.69520639,Iraja 2,21855,4551905,6517,14
671696.178125818,7472986.31038309,Praca Cisplatina,9800,4551906,2970,14
672246.27416524,7473724.25708777,Padre Roser,24173,4551907,7250,14
672927.069659417,7474278.70982451,Vista Alegre,8816,4551908,2697,14
671599.789454459,7474662.71467932,CEASA,29586,4551909,8912,14
671654.04916377,7475513.69368693,Iraja - Dutra,5629,4551910,1650,14
670962.308415146,7473584.66307459,Colegio 1,18270,4551911,4450,14
670452.149335396,7472920.66471874,Colegio 2,11647,4551912,3471,14
667270.952053725,7471690.29647612,Marechal Hermes 1,29216,4552001,8445,15
667008.161255411,7470229.02723202,Marechal Hermes 2,17623,4552002,5186,15
668033.443883372,7469828.89056349,Bento Ribeiro 1,28031,4552003,8325,15
668441.350251064,7470958.38511211,Bento Ribeiro 2,16822,4552004,5027,15
668479.5955193,7471800.53364509,Honorio Gurgel 1,6854,4552005,1981,15
668722.560000979,7472827.41502815,Honorio Gurgel 2,15205,4552006,4375,15
669461.496389676,7472562.75524988,Rocha Miranda 1,20219,4552007,6095,15
669859.041812383,7471723.12771927,Rocha Miranda 2,20366,4552008,6007,15
670093.067991448,7470823.61214742,Turiassu,15858,4552009,4687,15
669415.258071853,7470330.68950343,Osvaldo Cruz 1,13152,4552010,3938,15
669085.54892919,7469413.67306375,Osvaldo Cruz 2,22411,4552011,6752,15
670192.784747699,7469051.85291228,Madureira,20369,4552012,6469,15
671016.729930766,7470088.6333878,Magno,29473,4552013,8697,15
671493.010042568,7471180.67967244,Vaz Lobo,14127,4552014,4298,15
672684.177468267,7469817.42737203,Cavalcanti,14033,4552015,4162,15
671801.58181501,7469410.39715602,Engenheiro Leal,6031,4552016,1708,15
672052.405915808,7468720.46833324,Cascadura 1,15046,4552017,4707,15
672711.700776196,7468236.16770011,Quintino 1,16506,4552018,5219,15
671656.360760252,7466764.19334312,Quintino 2,14263,4552019,4462,15
670958.487786983,7467958.84437265,Cascadura 2,17279,4552020,4924,15
669549.136116874,7468253.17096123,Campinho,9558,4552021,2966,15
673759.392197273,7462720.60235113,Estrada Tres Rios,1886,4552101,478,16
672275.355593742,7459573.56079737,Rua Araticum,28106,4552102,8381,16
669142.674261177,7458519.36104116,Av. Canal do anil,2496,4552103,721,16
669069.629331209,7460075.38475536,Gardenia Azul,13056,4552104,3812,16
670044.875406263,7459849.63642155,Anil 1,9373,4552105,2650,16
670887.331946627,7460955.09058626,Anil 2,10572,4552106,3014,16
670786.832151793,7462279.99582516,Rua Tirol,18557,4552107,5961,16
670753.190922355,7463969.68723455,Pau Ferro,12198,4552108,3579,16
669240.287859566,7464934.9014466,Tanque,12299,4552109,3792,16
669128.980396954,7463709.32780879,Pechincha 1,13616,4552110,4350,16
669221.658715544,7461567.1161578,Estr. do Gabinal,21221,4552111,6480,16
667834.750966605,7461314.40151747,Cidade de Deus,36320,4552112,9734,16
666862.858002314,7459622.58177726,Centro Metropolitano,10404,4552113,2906,16
665355.192713738,7460879.05701913,Curicica,25142,4552114,6947,16
666542.306486385,7462398.0789726,Taquara 1,6881,4552115,1997,16
667431.674772961,7463156.75307652,Tindiba,28605,4552116,8800,16
668350.842075839,7462795.35648625,Pechincha 2,14243,4552117,4544,16
665828.247414312,7463544.4587346,Taquara 2,15096,4552118,4430,16
665968.220198221,7464473.38870885,Estr. do Rio Grande,15416,4552119,4599,16
667164.010166829,7465457.72437877,Estr. do Cafunda,15531,4552120,4768,16
664352.011534361,7465467.0021312,Estrada do Boiuna,20490,4552121,5884,16
660015.677172711,7463587.67974303,Estr. Pau da Fome,6545,4552122,1860,16
663104.074930668,7461455.19689989,Juliano Moreira,12397,4552123,4187,16
663861.50916604,7459025.97029288,Riocentro,11326,4552124,3515,16
667514.80292492,7467962.53726209,Vila Valqueire,28828,4552125,8743,16
668514.833362021,7466287.10231772,Praca Seca 1,27979,4552126,8771,16
669615.867042229,7467135.08506743,Praca Seca 2,27777,4552127,8918,16
653626.459904573,7472918.5161266,Bangu - Av.Brasil,49908,4552201,13233,17
654435.244386213,7470005.94483715,Senador Camara 2,26113,4552202,7208,17
654989.967677769,7466606.5361141,Senador Camara 1,74296,4552203,20546,17
656735.729409279,7467595.91571976,Estacao de Bangu,43517,4552204,12809,17
656831.484280502,7470188.9946945,Estr. do Engenho,43083,4552205,11776,17
656392.821367943,7473636.8239712,Estrada Gericino,35478,4552206,12673,17
658162.644340678,7470383.53792293,Guilh.da Silveira 1,38783,4552207,10978,17
657970.163150437,7467928.9881928,Guilh.da Silveira 2,15620,4552208,4468,17
658970.587338437,7468105.25374959,Padre Miguel 1,31204,4552209,9020,17
659114.135001867,7470394.75139766,Padre Miguel 2,31083,4552210,8683,17
660668.090811106,7471432.95364152,Realengo-Av.Brasil,49314,4552211,14087,17
660697.244823112,7467217.05882476,Realengo,119775,4552212,33794,17
664758.241033713,7467141.2288917,Sulacap,10750,4552213,3132,17
665871.543993653,7469035.24660797,Campo dos Afonsos,1424,4552214,355,17
664300.666113971,7470049.37492414,Vila Militar 1,9689,4552215,2665,17
662757.836664931,7469709.70219677,Magalhaes Bastos,23753,4552216,6723,17
663184.756270943,7472181.68943279,Vila Militar 2,5122,4552217,1314,17
665328.664793677,7472806.94430949,Deodoro 1,310,4552218,89,17
665832.634295994,7471224.63509775,Deodoro 2,10523,4552219,2628,17
642122.373300176,7464280.07625049,Cosmos 1,10623,4552301,2926,18
642364.426101484,7466989.28272611,Cosmos 2,43697,4552302,11690,18
644047.34328774,7464825.0511222,Inhoaiba 1,24216,4552303,6636,18
644467.407500634,7466674.40826483,Inhoaiba 2,26735,4552304,6876,18
643691.100632339,7468558.49185325,Campo Grande 3,34302,4552305,9168,18
646879.748840424,7468538.52942696,Campo Grande 1,63904,4552306,17719,18
646641.165431801,7465022.18743086,Campo Grande 2,57591,4552307,16349,18
648702.926563399,7463583.92744311,Estr.da Cachamorra,54892,4552308,15348,18
652719.940198152,7463899.65017588,Estrada do Viegas,6614,4552309,1877,18
650633.430624048,7467394.28125939,Senador Vasconcelos,25250,4552310,7081,18
649060.95466702,7468846.06288439,Estrada da Posse,21693,4552311,6072,18
652328.496202227,7468719.6152745,Santissimo,13762,4552312,3822,18
651321.397153183,7470361.28755405,Santissimo - Av.Brasil,13221,4552313,3567,18
650619.383314022,7474759.86735396,Estrada do Guandu,14903,4552314,3983,18
646945.657713043,7472503.74201421,Estr. do Pedregoso,2763,4552315,731,18
644137.559501529,7470329.03189471,Estrada do Tingui,4511,4552316,1231,18
633972.173526929,7459437.20493484,Sepetiba,28613,4552401,8496,19
638120.475643491,7461760.68981564,Estrada da Pedra,38036,4552402,9988,19
640098.705834993,7464836.08209261,Av. Cesario de Melo,46821,4552403,12377,19
639438.654045208,7468958.05418817,Paciencia 1,17952,4552404,4513,19
636003.911365211,7467660.99826606,Jesuitas,38660,4552405,10400,19
636352.238664177,7463851.7231927,Antares,57774,4552406,15159,19
632387.82902488,7462688.44197602,Santa Cruz,31972,4552407,8863,19
629723.943550099,7466750.22501303,Cosigua,17948,4552408,4682,19
682100.825195448,7470724.01308708,Cidade Universitaria,938,4552501,283,20
681222.065770605,7472658.09022637,Hosp.Universitario,653,4552502,196,20
679868.654753805,7475503.43672284,Aeroporto do Galeao,600,4552503,134,20
681670.983155987,7477206.71336827,Galeao,17894,4552504,4741,20
684533.671692875,7476092.96930954,Jardim Guanabara,28428,4552505,8677,20
686747.510433572,7475082.0115762,Ribeira,27152,4552506,8006,20
685992.147383913,7477210.50934943,Cocota,65623,4552507,19012,20
684305.67161939,7477649.79712911,Portuguesa,28823,4552508,8583,20
687588.583219696,7478913.32916588,Freguesia,29236,4552509,8379,20
694868.15952174,7481507.44380405,Paqueta,2723,4552601,861,21
667256.649585348,7472717.48779608,Guadalupe 1,20207,4552701,5969,22
666400.078397894,7473781.69136443,Guadalupe 2,24563,4552702,7108,22
664852.387791042,7475248.51417079,Anchieta Via Light,31272,4552703,8734,22
665114.311576312,7473994.85168143,Ricardo Albuq. 1,13234,4552704,3822,22
663874.125996262,7473153.49367644,Ricardo Albuq. 2,13468,4552705,4112,22
662769.863915188,7473793.50662786,Ricardo Albuq. 3,26261,4552706,7372,22
663163.795044649,7474795.8882891,Anchieta,19585,4552707,5472,22
683661.195942602,7461801.26810033,Paineiras,6744,4552801,1998,23
685502.232463884,7463980.61751749,Santa Tereza,23637,4552802,7541,23
686397.688706068,7464397.20118652,Andre Cavalcanti,13025,4552803,5168,23
675527.835516178,7454565.52531413,Joa,803,4552901,237,24
674838.551698575,7455093.12522395,Barrinha,2556,4552902,783,24
673352.795196595,7454422.26060424,Centro da Barra,13968,4552903,4499,24
674808.936354477,7456394.1256469,Itanhanga 1,3983,4552904,1041,24
673084.848368446,7457260.75516133,Itanhanga 2,3085,4552905,789,24
671113.349194522,7457370.47708533,Itanhanga 3,4067,4552906,1186,24
671404.100706681,7455954.62034977,Barra 1,425,4552907,96,24
672426.154264898,7455325.78297954,Downtown,226,4552908,51,24
671828.022882244,7454860.57178456,Palace,8689,4552909,2688,24
671264.760927581,7454432.76665827,Sernambetiba 1,8984,4552910,3007,24
670742.049955879,7455120.34659976,Min. Afranio Costa,5725,4552911,2064,24
670281.215269403,7456294.219769,Extra Supermercado,425,4552912,96,24
669471.05583222,7455199.91710209,Celso Kelly,7553,4552913,3012,24
668865.316844594,7454569.61524033,Sernambetiba 2,4928,4552914,2045,24
668132.04679443,7455158.50246474,Nova Ipanema,2547,4552915,721,24
669212.852209127,7456755.90958505,Centro Empresarial,42,4552916,10,24
668087.385527927,7456119.31595219,Barra Shopping,23,4552917,9,24
668010.293525552,7457164.00610963,Casa Shopping,13,4552918,3,24
668088.664828614,7457868.77376977,Via Parque,7,4552919,2,24
666722.869967567,7457276.45053847,Aeroporto da Barra,838,4552920,258,24
666601.533656817,7456008.33199786,Bosque da Barra,2696,4552921,832,24
666838.997211378,7455133.38270043,Novo Leblon,3303,4552922,904,24
666342.872708421,7454404.82257199,Sernambetiba 3,2402,4552923,742,24
665487.20457917,7456317.64926329,Mandala,6318,4552924,1798,24
663471.246952652,7456835.10560304,Santa Monica,2375,4552925,584,24
662181.847192083,7454671.48418854,Pedra de Itauna,7764,4552926,2867,24
661990.667380853,7453839.11145698,Reserva Biologica,895,4552927,389,24
658642.542968679,7453848.36598395,Via 9,3677,4552928,1263,24
659638.813068214,7455454.45344122,Salvador Allende,3331,4552929,884,24
659728.033820307,7456918.81465925,Estr.Bandeirantes 1,3074,4552930,887,24
660928.318135677,7458750.41434364,Camorim,479,4552931,329,24
657564.765609488,7457764.52336383,Vargem Pequena,3442,4552932,881,24
656321.132605165,7455139.62154769,Recreio 1,919,4552933,266,24
656220.514274953,7452920.95317342,Recreio 2,10411,4552934,3138,24
650472.120431203,7450584.89956155,Grumari,126,4552935,27,24
652077.205488757,7452834.65142276,Pontal,2076,4552936,581,24
654609.744573615,7458788.0195382,Vargem Grande,7457,4552937,2023,24
669439.16570973,7473881.11170272,Coelho Neto,19957,4553001,5766,25
668985.138262308,7474504.46976996,Acari 1,13987,4553002,4107,25
670275.409318144,7475212.85006011,Acari 2,23082,4553003,6172,25
670769.393287363,7476898.21102169,Pavuna - Dutra,3442,4553004,898,25
669759.342217995,7476444.90388299,Embau,8339,4553005,2351,25
669056.437766517,7475774.25155248,Fazenda Botafogo,13330,4553006,3607,25
668524.885405867,7476811.0336082,Pavuna 1,13236,4553007,3807,25
667488.94288988,7476533.61583615,Pavuna 2,11995,4553008,3476,25
666397.99584383,7475775.0022178,Estrada Rio do Pau,31475,4553009,8930,25
668220.563601377,7475518.03943304,Estrada Botafogo,16382,4553010,4413,25
667296.745805633,7474931.50232093,Costa Barros,25088,4553011,6770,25
667860.383991003,7473851.9984746,Barros Filho,17225,4553012,4978,25
647349.943862074,7458960.35891088,Baixada de Guaratiba,39980,4553101,11793,26
644265.77657847,7455694.92472281,Pedra de Guaratiba 2,3712,4553102,945,26
647433.952874281,7450169.48839888,Guaratiba,659,4553103,165,26
648535.89917325,7451475.0325527,Barra de Guaratiba,4709,4553104,1270,26
639618.851573544,7456089.83166465,Pedra de Guaratiba 1,8119,4553105,2466,26
638752.131622597,7458380.55457476,Estr.do Magarca,9560,4553106,2602,26
641756.776504634,7461135.99981845,Fragoso,7568,4553107,1978,26
678073.260710437,7468405.92176399,Maria da Graca,7593,4553201,2441,12
678339.893974676,7469394.59798074,Higienopolis,15994,4553202,5081,12
677197.725491462,7468861.29317312,Nova America,9712,4553203,2762,12
677436.953023591,7468487.35081889,Del Castilho,5987,4553204,1824,12
675983.67903573,7469020.17771714,Cemiterio Inhauma,14273,4553205,4229,12
677130.986091273,7469723.43599031,Av. Itaoca,11034,4553206,3310,12
676222.681491857,7470303.87893406,semnome1,8655,4553207,2571,12
675821.703983591,7469797.99875648,semnome2,6033,4553208,1774,12
675009.058109238,7470780.298725,semnome3,18067,4553209,5345,12
675039.052566525,7469782.22359434,semnome4,8540,4553210,2482,12
673813.249262573,7470190.7145421,semnome5,21621,4553211,6397,12
679520.431406921,7456712.6334339,Rocinha,45585,4553301,13491,27
679160.055117443,7467511.04296544,Jacarezinho,38514,4553401,10988,28
677211.656489358,7470805.52559005,Morro do Alemao,64031,4553501,17126,29
680689.478670666,7469728.5686676,Mare 1,32243,4553601,8820,30
680193.318634273,7470623.17749757,Mare 2,34013,4553602,9214,30
679950.150595413,7472357.57872083,Mare 3,39840,4553603,11689,30
